Quantidade_Vertices;Tipo_Grafo;Custo_Dijkstra;Tempo_Dijkstra(s);Custo_Duan;Tempo_Duan(s);Custo_BellmanFord;Tempo_BellmanFord(s)
499;barabasi;26388.0;0.000345;26388.0;0.000124;26388.0;0.000923
499;complete;1741.0;0.000321;2244.0;0.000251;1741.0;0.000586
499;erdos;64417.0;0.000353;64417.0;0.000111;64417.0;0.001054
499;regular;2306436.0;0.000343;2306436.0;7.5e-05;2306436.0;0.00567
499;watts;93416.0;0.000343;93416.0;0.000131;93416.0;0.001268
500;barabasi;30893.0;0.000348;30893.0;0.00012;30893.0;0.000808
500;complete;1723.0;0.000328;2187.0;0.000248;1723.0;0.000469
500;erdos;66912.0;0.000358;66912.0;0.000111;66912.0;0.00096
500;regular;83162.0;0.000405;83162.0;0.000103;83162.0;0.000819
500;watts;103201.0;0.000326;103201.0;0.000103;103201.0;0.00123
501;erdos;78862.0;0.000349;78862.0;0.000111;78862.0;0.00094
501;barabasi;32712.0;0.000354;32712.0;0.000118;32712.0;0.000809
501;complete;1593.0;0.000323;2021.0;0.000245;1593.0;0.000583
501;regular;3247353.0;0.000375;3247353.0;8e-05;3247353.0;0.007936
501;watts;88742.0;0.000328;88742.0;0.000102;88742.0;0.001428
502;barabasi;25323.0;0.00038;25323.0;0.000119;25323.0;0.000936
502;complete;1697.0;0.000345;2085.0;0.000243;1697.0;0.000585
502;erdos;56188.0;0.000352;56188.0;0.000112;56188.0;0.001056
502;regular;156886.0;0.0004;156886.0;9.6e-05;156886.0;0.000933
502;watts;110722.0;0.00033;110722.0;0.000119;110722.0;0.001453
503;regular;3061863.0;0.000412;3061863.0;9.6e-05;3061863.0;0.007091
503;watts;109054.0;0.000333;109054.0;0.000122;109054.0;0.001569
503;erdos;67280.0;0.000356;67280.0;0.00011;67280.0;0.00109
503;barabasi;27989.0;0.000351;27989.0;0.000119;27989.0;0.000817
503;complete;1733.0;0.000328;2319.0;0.000245;1733.0;0.000591
504;barabasi;33219.0;0.000353;33219.0;0.000141;33219.0;0.000822
504;complete;2175.0;0.000341;2949.0;0.000252;2175.0;0.000647
504;erdos;62091.0;0.000357;62091.0;0.000122;62091.0;0.001189
504;regular;142009.0;0.000347;142009.0;9.7e-05;142009.0;0.001062
504;watts;101078.0;0.000328;101078.0;0.000102;101078.0;0.001145
505;barabasi;35154.0;0.000442;35154.0;0.000153;35154.0;0.000964
505;complete;1826.0;0.000333;2527.0;0.000248;1826.0;0.000598
505;erdos;81323.0;0.000362;81323.0;0.000118;81323.0;0.001162
505;regular;3297383.0;0.000336;3297383.0;8e-05;3297383.0;0.007925
505;watts;94489.0;0.000335;94489.0;0.000102;94489.0;0.001254
506;barabasi;38991.0;0.000355;38991.0;0.000121;38991.0;0.000954
506;complete;1828.0;0.000327;2390.0;0.00025;1828.0;0.000601
506;erdos;67044.0;0.000363;67044.0;0.00012;67044.0;0.000972
506;regular;175924.0;0.000367;175924.0;9.7e-05;175924.0;0.001238
506;watts;117283.0;0.00033;117283.0;0.000104;117283.0;0.001272
507;barabasi;32327.0;0.000355;32327.0;0.000134;32327.0;0.000952
507;complete;1872.0;0.000327;2559.0;0.000252;1872.0;0.000608
